#  energia,    pressao,       nB,         muB,   muBGibbs
197.215568, -39.980643, 0.199983, 786.241995, 786.174625
189.414628, -42.339584, 0.189985, 774.142227, 774.079180
181.736095, -44.654098, 0.179985, 761.628482, 761.566652
174.184951, -46.922410, 0.169986, 748.663517, 748.603179
166.769919, -49.141584, 0.159993, 735.210574, 735.177090
159.483528, -51.313640, 0.149987, 721.193586, 721.132584
152.344844, -53.432421, 0.139988, 706.576607, 706.517304
145.359087, -55.496018, 0.129994, 691.285479, 691.254377
138.523145, -57.505019, 0.119990, 675.207434, 675.151050
131.857837, -59.452723, 0.109994, 658.263344, 658.228309
125.364620, -61.338293, 0.099995, 640.296580, 640.263266
