rho,x,y,z,w,energia,pressao,energiamit,pressaomit,(pressao/pressaomit),fermie,fermip,hardgluons,nu,nd,ns,ne,nB,muB,muBGibbs
1.1,2.2142769593,2.2775612799,2.1471340605,0.0633650227,462.2399166063,86.1927811344,432.8332086756,56.7860732037,1.517850703,372.8332086756,116.7860732037,29.4067079306,1.1000085927,1.1970449734,1.0029464339,8.59266309382247E-006,1.1,498.5751797645,498.5751797642
1.09,2.2075466956,2.2710127478,2.1401864851,0.0635472544,457.2631075618,84.2332868002,428.3886367416,55.35881598,1.5215875793,368.3886367416,115.35881598,28.8744708202,1.090008667,1.1867492631,0.9932420699,0.000008667,1.09,496.785682902,496.7856829009
1.08,2.2007751428,2.2644250622,2.1331948229,0.0637316264,452.3042327336,82.2831579567,423.957138411,53.9360636342,1.5255684678,363.957138411,113.9360636342,28.3470943226,1.0800087427,1.1764517318,0.9835395256,8.74266835004925E-006,1.08,494.9883247119,494.9883247133
1.07,2.1939616618,2.2577976284,2.1261583716,0.0639181834,447.3633713284,80.342422654,419.5387928905,52.5178442162,1.5298118926,359.5387928905,112.5178442162,27.8245784378,1.0700088197,1.166152351,0.9738388293,8.81966869098777E-006,1.07,493.1829850296,493.1829850303
1.06,2.1871055975,2.2511298374,2.1190764108,0.0641069716,442.440603779,78.4111093836,415.133680613,51.1041862176,1.5343382839,355.133680613,111.1041862176,27.306923166,1.0600088981,1.1558510919,0.9641400101,0.000008898,1.06,491.3695407186,491.3695407194
1.05,2.1802062783,2.2444210647,2.1119482015,0.0642980381,437.5360117601,76.4892470848,410.741883253,49.6951185777,1.5391702299,350.741883253,109.6951185777,26.7941285071,1.0500089778,1.1455479245,0.9544430976,8.97784629573602E-006,1.05,489.5478655663,489.5478655665
1.04,2.1732630153,2.2376706705,2.1047729853,0.0644914321,432.6496782261,74.5768651585,406.3634837652,48.2906706975,1.5443327682,346.3634837652,108.2906706975,26.286194461,1.0400090591,1.1352428185,0.9447481224,9.05910017455149E-006,1.04,487.717830178,487.7178301775
1.03,2.1662751022,2.2308779985,2.0975499837,0.0646872037,427.7816874418,72.6739934781,401.998566414,46.8908724503,1.549853728,341.998566414,106.8908724503,25.7831210278,1.0300091418,1.1249357424,0.9350551158,9.14185088764452E-006,1.03,485.8793018649,485.8793018639
1.02,2.159241814,2.2240423757,2.0902783975,0.064885405,422.9321250157,70.780662402,397.6472168082,45.4957541945,1.5557641291,337.6472168082,105.4957541945,25.2849082075,1.0200092261,1.1146266641,0.9253641098,9.22614040289715E-006,1.02,484.0321445279,484.0321445271
1.01,2.1521624071,2.2171631119,2.0829574059,0.0650860896,418.1010779343,68.896902786,393.3095219342,44.1053467859,1.5620986526,333.3095219342,104.1053467859,24.791556,1.010009312,1.1043155506,0.9156751374,0.000009312,1.01,482.176218535,482.1762185349
1,2.1450361178,2.2102394987,2.0755861659,0.0652893129,413.2886345986,67.0227459964,388.9855701931,42.7196815909,1.5688961973,328.9855701931,102.7196815909,24.3030644055,1.0000093995,1.0940023682,0.9059882323,9.39951171476798E-006,1,480.3113805944,480.3113805949
0.99,2.1378621623,2.2032708092,2.0681638109,0.0654951318,408.4948848608,65.1582239238,384.6754514369,41.3387905,1.5762005404,324.6754514369,101.3387905,23.8194334238,0.9900094887,1.0836870819,0.8963034294,9.4886857088253E-006,0.99,478.4374836209,478.4374836208
0.98,2.1306397352,2.1962562971,2.0606894508,0.0657036055,403.7199200675,63.3033689986,380.3792570124,39.9627059436,1.5840611266,320.3792570124,99.9627059436,23.340663055,0.9800095796,1.0733696561,0.8866207643,9.57958303485877E-006,0.98,476.5543765966,476.5543765981
0.97,2.1233680096,2.1891951959,2.0531621699,0.0659147948,398.963833089,61.4582142021,376.0970797899,38.5914609029,1.5925340157,316.0970797899,98.5914609029,22.8667532991,0.9700096723,1.0630500541,0.8769402737,9.67225443451681E-006,0.97,474.661904423,474.6619044238
0.96,2.1160461355,2.1820867187,2.045581027,0.0661287626,394.2267183738,59.6227930856,371.8290142177,37.2250889295,1.6016830262,311.8290142177,97.2250889295,22.3977041561,0.9600097668,1.0527282381,0.8672619951,9.7667526262936E-006,0.96,472.75990777,472.7599077702
