# Mass density, Pressure, Baryonic density
# Mev/fm^3, Mev/fm^3, fm^-3
2.588916e+15, 1.30194772e+36, 1e+39
2.587133e+15, 1.30066596e+36, 1e+39
2.58535e+15, 1.2993842e+36, 1e+39
2.583567e+15, 1.29810244e+36, 1e+39
2.581784e+15, 1.29682068e+36, 1e+39
2.580001e+15, 1.29553892e+36, 1e+39
2.578218e+15, 1.29425716e+36, 1e+39
2.576435e+15, 1.2929754e+36, 1e+39
2.574652e+15, 1.29169364e+36, 1e+39
2.572869e+15, 1.29041188e+36, 1e+39
2.571086e+15, 1.28913012e+36, 1e+39
2.569303e+15, 1.28784836e+36, 1e+39
2.56752e+15, 1.2865666e+36, 1e+39
2.565737e+15, 1.28528484e+36, 1e+39
2.563954e+15, 1.28400308e+36, 1e+39
2.562171e+15, 1.28272132e+36, 1e+39
2.560388e+15, 1.28143956e+36, 1e+39
2.558605e+15, 1.2801578e+36, 1e+39
2.556822e+15, 1.27887604e+36, 1e+39
2.555039e+15, 1.27759428e+36, 1e+39
2.553256e+15, 1.27631252e+36, 1e+39
2.551473e+15, 1.27503076e+36, 1e+39
2.54969e+15, 1.273749e+36, 1e+39
2.547907e+15, 1.27262746e+36, 1e+39
2.546124e+15, 1.2713457e+36, 1e+39
2.544341e+15, 1.27006394e+36, 1e+39
2.542558e+15, 1.26878218e+36, 1e+39
2.540775e+15, 1.26750042e+36, 1e+39
2.538992e+15, 1.26621866e+36, 1e+39
